artist,track,added_at,source,has_spotify,in_playlist
Art Popular,Pimpolho,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
Aviões do Forró,Chupa Que É de Uva,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
Aviões do Forró,Não É Nada Disso,2026-03-05T00:00:00Z,https://esquinamusical.com.br/sucessos-das-musicas-de-duplo-sentido-no-brasil/,True,True
Aviões do Forró,Ovo de Codorna,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/bandas-de-forro/,False,
Bonde do Forró,Milk Shake,2026-03-05T00:00:00Z,https://open.spotify.com/intl-pt/track/0boPqSY6FsUH0ZvPZg9NbE,True,True
Bonde do Tigrão,Tchutchuca,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/furacao-2000-as-melhores/,True,True
Clemilda,Prenda o Tadeu,2026-03-05T00:00:00Z,https://esquinamusical.com.br/sucessos-das-musicas-de-duplo-sentido-no-brasil/,True,True
Comitiva do Rock,Amigo Ensaboado,2026-03-05T00:00:00Z,https://www.letras.mus.br/comitiva-do-rock/,True,True
Comitiva do Rock,Furada Boa,2026-03-05T00:00:00Z,https://www.letras.mus.br/comitiva-do-rock/,False,
Comitiva do Rock,O Viagra é o Segredo,2026-03-05T00:00:00Z,https://www.letras.mus.br/comitiva-do-rock/,True,True
Comitiva do Rock,Sentei!,2026-03-05T00:00:00Z,https://www.letras.mus.br/comitiva-do-rock/,False,
Comitiva do Rock,Troca o Óleo,2026-03-05T00:00:00Z,https://www.letras.mus.br/comitiva-do-rock/,True,True
Companhia do Pagode,Dança do Maxixe,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,False,
DJ Maluco,Não Cozinho Não,2026-03-05T00:00:00Z,https://open.spotify.com/track/1B4vAKwbH9rP99xaUqWh5f,True,True
ET e Rodolfo,Panela de Pressão,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
Falcão,O Cume,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,False,
Frank Aguiar,Gatinha Manhosa,2026-03-05T00:00:00Z,https://blog.rodeowest.com.br/musica/top-20-musicas-sertanejas-engracadas/,False,
Genival Lacerda,A Filha de Mané Bento,2026-03-05T00:00:00Z,https://open.spotify.com/track/4JGmsRu9SZGz7S4I5mMvwj,True,True
Genival Lacerda,A Mulher da Cocada,2026-03-05T00:00:00Z,http://obacurau.blogspot.com/2008/03/clssicos-do-forr-de-duplo-sentido-3.html,True,True
Genival Lacerda,Caldinho de Mocotó,2026-03-05T00:00:00Z,https://wscom.com.br/coluna/genival-lacerda-morre-o-mestre-do-duplo-sentido-que-brilhou-numa-epoca-em-que-o-politicamente-correto-pouco-influenciava-a-sociedade/,True,True
Genival Lacerda,De Quem É Esse Jegue,2026-03-05T00:00:00Z,https://esquinamusical.com.br/relembre-sucessos-de-genival-lacerda-icone-da-cancao-de-duplo-sentido/,False,
Genival Lacerda,O Chevette da Menina,2026-03-05T00:00:00Z,https://wscom.com.br/coluna/genival-lacerda-morre-o-mestre-do-duplo-sentido-que-brilhou-numa-epoca-em-que-o-politicamente-correto-pouco-influenciava-a-sociedade/,True,True
Genival Lacerda,Radinho de Pilha,2026-03-05T00:00:00Z,https://esquinamusical.com.br/relembre-sucessos-de-genival-lacerda-icone-da-cancao-de-duplo-sentido/,True,True
Genival Lacerda,Severina Xique-Xique,2026-03-05T00:00:00Z,https://esquinamusical.com.br/relembre-sucessos-de-genival-lacerda-icone-da-cancao-de-duplo-sentido/,True,True
João Gonçalves,Pescaria em Boqueirão,2026-03-05T00:00:00Z,http://blogdoisraelbatista.blogspot.com/2012/06/relembrando-o-forro-safado.html,True,True
Leonardo,Água de Coco,2026-03-05T00:00:00Z,https://zappeando.com.br/entretenimento/20-musicas-com-duplo-sentido-que-voce-nao-percebeu-vou-de-taxi-e-uma-delas,True,True
Mamonas Assassinas,1406,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Chopis Centis,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Jumento Celestino,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Pelados em Santos,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Robocop Gay,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Uma Arlinda Mulher,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Mamonas Assassinas,Vira Vira,2026-03-05T00:00:00Z,https://www.letras.mus.br/blog/mamonas-assassinas-melhores-musicas/,True,True
Molejo,Brincadeira de Criança,2026-03-05T00:00:00Z,"https://www.terra.com.br/diversao/musica/os-proibidoes-veja-10-hits-polemicos-do-pagode-dos-anos-90,62b77d2d00ee6410VgnVCM10000098cceb0aRCRD.html",True,True
Moraezinho e Auri Silvestre,Panela Velha,2026-03-05T00:00:00Z,https://esquinamusical.com.br/sucessos-das-musicas-de-duplo-sentido-no-brasil/,False,
Pedra Letícia,Em Plena Lua de Mel,2026-03-05T00:00:00Z,https://www.letras.mus.br/pedra-leticia/,True,True
Pedra Letícia,Teorema de Carlão,2026-03-05T00:00:00Z,https://www.letras.mus.br/pedra-leticia/,True,True
Raul Seixas,Rock das Aranhas,2026-03-05T00:00:00Z,https://esquinamusical.com.br/sucessos-das-musicas-de-duplo-sentido-no-brasil/,False,
Sandro e Gustavo,A Garagem da Vizinha,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
Só Pra Contrariar,A Barata,2026-03-05T00:00:00Z,https://ibahia.com/entretenimento/detalhe/noticia/relembre-dez-musicas-cheias-de-duplo-sentido-que-voce-cantava,True,True
